Name,NRIC,Age,Marital Status,Password,Role
John,S1234567A,35,SINGLE,Pass!123!,Applicant
Sarah,T7654321B,40,MARRIED,password,Applicant
Grace,S9876543C,37,MARRIED,password,Applicant
James,T2345678D,30,MARRIED,password,Applicant
Rachel,S3456789E,25,MARRIED,password,Applicant
Daniel,T2109876H,36,SINGLE,password,Officer
Emily,S6543210I,28,SINGLE,password,Officer
David,T1234567J,29,MARRIED,password,Officer
Michael,T8765432F,36,SINGLE,password,Manager
Jessica,S5678901G,26,MARRIED,password,Manager
Terence,T7890001K,45,MARRIED,password,Manager
Fiona,F6543210L,32,SINGLE,password,Manager
George,G1234567M,40,SINGLE,password,Manager
Naomi,G2345678N,35,MARRIED,password,Manager
Howard,H3456789O,38,SINGLE,password,Manager
Helen,H4567890P,41,MARRIED,password,Manager
